epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,24811.2,1.07041,0.66585,0.99174,0.81669,0.27993,0.33314,0.21834,0.88961,1.03869,0.63528,0.003862,0.003862,0.003862
64,25231.9,1.06703,0.65629,0.99217,0.81826,0.27922,0.33294,0.2183,0.89022,1.02884,0.63588,0.003763,0.003763,0.003763
65,25668.8,1.047,0.64879,0.98958,0.82266,0.27865,0.33273,0.21789,0.89195,1.01962,0.63645,0.003664,0.003664,0.003664
66,26079.2,1.05406,0.65032,0.98752,0.81993,0.27908,0.33294,0.21769,0.8931,1.0137,0.63667,0.003565,0.003565,0.003565
67,26491.8,1.05577,0.64839,0.98877,0.81667,0.27865,0.33261,0.21735,0.89519,1.01398,0.63738,0.003466,0.003466,0.003466
68,26906.7,1.04785,0.64424,0.98375,0.81745,0.27822,0.33234,0.21721,0.89771,1.0095,0.63813,0.003367,0.003367,0.003367
69,27318.7,1.04645,0.64566,0.98568,0.81587,0.2785,0.33253,0.21718,0.89899,1.00897,0.63827,0.003268,0.003268,0.003268
70,27730.6,1.04658,0.64565,0.98655,0.7915,0.2811,0.33243,0.21675,0.89999,1.0069,0.63826,0.003169,0.003169,0.003169
71,28143.5,1.03433,0.63737,0.97953,0.78997,0.28224,0.33239,0.21649,0.90131,1.00716,0.63854,0.00307,0.00307,0.00307
72,28556,1.03753,0.63263,0.98608,0.79397,0.28203,0.33251,0.21642,0.90396,1.00711,0.63955,0.002971,0.002971,0.002971
73,28970.2,1.03293,0.63048,0.98196,0.79345,0.28081,0.33198,0.21602,0.90646,1.00692,0.6404,0.002872,0.002872,0.002872
74,29384.9,1.02453,0.6255,0.97988,0.79653,0.27975,0.33134,0.21576,0.9087,1.00572,0.6409,0.002773,0.002773,0.002773
75,29797.9,1.02703,0.62567,0.98297,0.79193,0.28009,0.33105,0.21547,0.90948,1.00768,0.64102,0.002674,0.002674,0.002674
76,30210.7,1.01146,0.61439,0.97877,0.79392,0.28009,0.3311,0.21515,0.91098,1.00975,0.64133,0.002575,0.002575,0.002575
77,30623.5,1.01292,0.61754,0.97204,0.7933,0.28023,0.33142,0.2149,0.91245,1.00763,0.64201,0.002476,0.002476,0.002476
78,31035.5,1.00418,0.60922,0.97208,0.80825,0.27819,0.33122,0.21442,0.91471,1.00664,0.64275,0.002377,0.002377,0.002377
79,31448,1.01432,0.61299,0.97812,0.81097,0.27779,0.33054,0.21424,0.91591,1.00727,0.6433,0.002278,0.002278,0.002278
80,31861.3,1.00192,0.60337,0.97035,0.8111,0.2785,0.33084,0.21395,0.91703,0.9995,0.64355,0.002179,0.002179,0.002179
81,32274.1,1.00241,0.60419,0.97517,0.80848,0.27807,0.3304,0.21361,0.91863,0.99247,0.64404,0.00208,0.00208,0.00208
82,32688.7,0.99061,0.5958,0.96879,0.80646,0.27764,0.3296,0.21329,0.92107,0.9889,0.64492,0.001981,0.001981,0.001981
83,33102.6,0.98729,0.59449,0.96468,0.80293,0.27793,0.32951,0.2132,0.92365,0.98526,0.64583,0.001882,0.001882,0.001882
84,33514.2,0.97409,0.58225,0.96246,0.79618,0.27779,0.329,0.21279,0.92605,0.98467,0.64683,0.001783,0.001783,0.001783
